article_id,article_name
0,Digital media use and mental health
1,Ellen Wilkinson
2,Jules Massenet
3,Leonhard Euler
4,Literary Hall
5,Romney Literary Society
6,Sesame Street research
7,Some Thoughts Concerning Education
8,Thomas F. Mulledy
9,United States Academic Decathlon
10,"University of California, Riverside"
11,William Matthews (priest)
12,William McSherry
13,Royal Society of London Michael Faraday Prize
14,United States Academic Decathlon National Championship
15,University of Wisconsin Experimental College
16,AP Statistics
17,Academic All-America
18,Adele Zay
19,Alphonsus J. Donlon
20,Amal Women's Training Center and Moroccan Restaurant
21,Animal husbandry
22,Aristotle
23,Arnold Ross
24,Briarcliff Farms
25,Brown v. Board of Education
26,Béla H. Bánáthy
27,Carmen Casco de Lara Castro
28,Charles H. Stonestreet
29,Charles M. Williams (academic)
30,Compulsory Miseducation
31,Cutting the Mustard
32,David H. Buel
33,Death of Irene Garza
34,Domingo Faustino Sarmiento
35,Dreamtime (book)
36,Education and Democracy: The Meaning of Alexander Meiklejohn
37,Education in Medieval Scotland
38,Education in the Faroe Islands
39,Eleanor Sophia Smith
40,Enoch Fenwick
41,Erasmus Smith
42,Fabian Ware
43,Fatima Massaquoi
44,Fifty Years of Freedom
45,Flocabulary
46,Frieda Fraser
47,Gery Chico
48,God's Choice
49,Han Sorya
50,Harvard Girl
51,Heather Knight (educator)
52,Henry Bell Gilkeson
53,Howard Hille Johnson
54,Howard Llewellyn Swisher
55,IB Diploma Programme
56,Influence of Sesame Street
57,International Association of Business Communicators
58,Jack Dormand
59,James A. Doonan
60,James Morris III
61,Jerome Daugherty
62,Jill Biden
63,Johann Lamont
64,John B. Creeden
65,John Collins Covell
66,John D. Whitney
67,John von Neumann
68,Joseph A. Lopez
69,Joseph J. Himmel
70,Kids Can Say No!
71,Lady Charlotte Finch
72,Lawrence C. Gorman
73,Malala Yousafzai
74,Mary Carpenter
75,Mary McLeod Bethune
76,Minimum Foundation Program
77,Mitch Daniels
78,Nancy Marcus
79,Neda Agha-Soltan Graduate Scholarship
80,Osteopathic medicine in the United States
81,Otto Frederick Hunziker
82,Percy Shaw Jeffrey
83,Pin Malakul
84,Port Charlotte High School
85,Prison education
86,Pūnana Leo
87,Rambhadracharya
88,Randy Pausch
89,Really Achieving Your Childhood Dreams
90,Romney Academy
91,Romney Classical Institute
92,Samuel Mulledy
93,School District 53 Okanagan Similkameen
94,Sri Aurobindo
95,Stolen Childhood
96,Summerhill (book)
97,Sylvia Plath
98,The Demands of Liberal Education
