,country,label_name
0,0,states of malaysia
1,1,coastal and oceanic landforms
2,2,fluvial landforms
3,3,northeast asian countries
4,4,member states of the south asian association for regional cooperation
5,5,cartography
6,6,western asian countries
7,7,states of the united states
8,8,countries in europe
