article_id,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,vector_32,vector_33,vector_34,vector_35,vector_36,vector_37,vector_38,vector_39,vector_40,vector_41,vector_42,vector_43,vector_44,vector_45,vector_46,vector_47,vector_48,vector_49,vector_50,vector_51,vector_52,vector_53,vector_54,vector_55,vector_56,vector_57,vector_58,vector_59,vector_60,vector_61,vector_62,vector_63,vector_64,vector_65,vector_66,vector_67,vector_68,vector_69,vector_70,vector_71,vector_72,vector_73,vector_74,vector_75,vector_76,vector_77,vector_78,vector_79,vector_80,vector_81,vector_82,vector_83,vector_84,vector_85,vector_86,vector_87,vector_88,vector_89,vector_90,vector_91,vector_92,vector_93,vector_94,vector_95,vector_96,vector_97,vector_98,vector_99
0,0.065196,-0.519769,0.389736,-0.13711,1.116879,0.339542,0.678285,0.261383,0.112259,0.170776,0.927639,0.197133,-0.071629,-1.137045,0.709136,-0.481518,0.402236,-0.166574,0.729834,-0.453069,-0.384982,-0.535129,-0.146126,-0.644972,0.367382,-0.848477,-7.8e-05,0.371688,0.414638,-0.207828,-0.340198,-0.682906,0.433762,-0.286749,0.410268,0.288789,-0.52691,0.575952,0.888658,-0.406236,-0.029075,0.357413,-0.514915,-0.280871,0.21542,0.259649,0.475128,-0.228217,0.266348,-0.193654,-0.281409,0.035223,-0.599696,-0.697102,-1.065548,0.04973,0.467648,0.061468,-0.318611,-0.470595,0.179161,-0.293267,0.332072,-0.280782,0.70804,0.344408,0.319704,-0.571138,0.477529,0.761854,0.475136,0.168854,-0.401274,0.03232,-0.417615,-0.630422,0.093283,-0.861506,-0.281389,0.195295,0.261441,0.678251,-0.665897,-0.348009,0.24997,0.304884,-0.280542,0.301917,-0.179163,-0.210858,-0.386513,0.484653,-0.148969,0.637453,0.101399,0.066649,0.0453,0.52763,0.042165,-0.133544
1,-0.228807,-0.209742,-0.244707,0.067661,-0.018424,-0.045495,-0.023182,-0.101852,0.44282,0.405496,-0.120756,0.729852,0.205111,-0.301651,0.003492,0.008871,0.167707,-0.0782,0.360556,-0.021236,0.096794,-0.673382,-0.022686,-0.126019,0.134303,-0.477694,0.390758,0.130764,0.113932,0.181882,-0.383395,-0.243329,-0.500449,-0.138804,-0.307209,0.446419,-0.234375,-0.045333,0.720522,0.175392,-0.387774,-0.151239,-0.264055,-0.24668,-0.169093,0.63815,-0.064978,-0.475611,-0.050029,0.077601,-0.171952,-0.337314,0.353726,-0.876222,-0.272916,-0.47858,0.11894,0.343214,-0.237616,-0.210712,0.309538,-0.337797,-0.236813,0.061186,0.480745,0.324562,0.040027,-0.191059,0.294712,0.343275,0.146844,0.369726,0.23217,-0.398622,-0.248337,0.416955,0.065191,-0.299702,-0.626068,0.022933,0.057309,0.2244,0.397117,-0.203439,0.63994,0.39829,0.002153,-0.074362,0.653799,0.245893,-0.078127,0.122785,0.153967,0.606006,-0.565035,0.132532,-0.716645,0.5758,0.132355,-0.015664
2,-0.508262,-0.332712,0.071145,0.082162,0.289261,0.237933,0.051774,0.033715,-0.220512,0.282534,0.254937,0.228251,0.764214,-0.374588,0.212912,0.315606,0.166036,-0.379959,0.118491,0.048723,0.54144,-0.457233,0.63321,-0.16562,-0.695447,-0.850443,0.376143,-0.165174,0.460798,-0.444686,-0.225105,-0.657923,0.024672,0.01558,-0.483262,0.183788,-0.441287,0.415232,0.696699,0.202457,-0.107721,-0.451878,0.227192,-0.023711,-0.295109,0.190698,-0.163467,0.222013,0.532636,0.025494,0.354426,-0.850176,-0.176322,-0.401473,-0.418111,0.227904,-0.56548,-0.159928,0.132405,-0.189062,0.18277,0.16211,0.03593,0.278107,-0.209374,0.619363,0.07617,-0.176037,0.231523,0.992992,0.442082,-0.067743,-0.125002,-0.639356,-0.361506,-0.188569,-0.047389,-0.319568,-0.227416,0.182178,0.157724,0.527776,0.442822,0.008342,-0.313014,-0.167652,-0.273005,0.303239,0.251524,-0.096996,-0.511295,0.545337,0.143051,0.342435,-0.234959,0.477489,-0.54097,0.372944,-0.167962,-0.234199
5,-0.240519,0.056745,0.473658,0.350005,-0.062573,-0.528168,0.013416,-0.851381,0.28718,0.666505,-0.143896,0.869623,-0.052894,-0.742161,0.030366,0.258017,0.746432,-0.688166,0.760975,-0.535619,-0.227634,-0.627364,0.294531,-0.609831,-0.010984,-0.080508,0.785807,-0.0315,0.096754,0.311049,-0.375107,0.060136,-0.517005,0.104997,-0.328025,0.540555,0.019494,-0.429347,0.427933,0.527742,-0.232425,-0.524235,-0.477192,-0.589188,-0.265993,0.270822,-0.366673,-0.113417,0.487121,-0.188805,-0.140208,0.009766,0.35688,-0.809048,-0.022576,-0.595719,-0.072481,-0.298394,0.19592,-0.688374,0.347341,-0.544956,-0.649947,-0.518649,0.003682,0.287448,0.309506,-0.058145,0.444013,0.1854,-0.203452,-0.035048,0.159136,-0.011685,-0.260788,0.582111,-0.056409,-0.622091,-0.698387,0.364614,0.368419,0.617448,0.029555,0.282608,0.446606,0.281019,-0.25597,-0.561674,0.40365,0.206381,0.147384,0.150679,0.121011,0.477988,-0.551572,0.180617,-0.210246,0.01559,0.325245,-0.690181
6,-0.195166,-0.474191,-0.47522,-0.150462,-0.273814,-0.858345,0.002652,-0.277155,0.150117,0.707127,0.301899,0.471643,0.165553,0.08602,0.384362,0.040649,0.142364,-0.394518,0.337856,0.154159,0.353097,-0.216354,0.188004,-0.136829,-0.013518,-0.259597,0.199198,0.196702,0.421559,0.253717,0.075579,-0.504257,0.105039,-0.439131,-0.372774,0.434673,-0.38665,0.146157,0.686002,0.281544,-0.245356,-0.144921,-0.579862,-0.260995,0.040452,0.525951,0.20978,-0.372478,-0.705243,-0.061909,-0.273824,-0.034733,0.208531,-0.280593,0.069202,-0.094819,0.479003,-0.099169,0.181042,-0.194102,0.485845,-0.39059,-0.127918,0.264116,0.513761,0.314177,-0.11003,0.417393,-0.034809,-0.068884,0.654052,0.881771,0.384825,-0.408114,0.032883,-0.013511,-0.089627,0.266776,-0.829124,0.184883,-0.360411,-0.131532,0.803197,-0.383295,0.501599,0.665374,-0.05245,0.023888,0.410517,0.06873,0.289957,0.49846,0.474701,0.487464,-0.486095,0.052446,-0.687196,0.489819,-0.324961,-0.297086
7,-0.256758,-1.115047,0.984811,-0.002608,0.259817,-0.586989,0.059386,-0.917293,-0.174084,0.864343,0.40733,0.423328,-0.275843,-0.685644,-0.163974,-0.029936,0.421223,-0.209952,0.267947,-0.371394,0.003266,-1.016405,-0.248566,-0.320223,-0.012913,0.134035,-0.864956,0.791767,-0.015027,0.76205,0.302562,-0.035399,-0.321526,-0.437057,0.238003,-0.059051,0.599959,-0.322459,0.201742,-0.248388,0.334134,-0.544003,-0.549785,-0.188861,0.165499,-0.476165,-0.45395,-0.645873,-0.127863,0.266965,0.083902,0.240267,0.580261,-0.851982,-0.365803,0.030846,0.811658,0.856418,0.203085,-1.124878,0.122152,-0.631065,-0.088005,0.418963,0.275657,0.854622,0.018357,0.018103,0.328422,0.067861,0.652005,0.208136,-0.473794,0.132209,0.037648,0.454793,0.076973,-0.242692,-0.303216,0.146922,0.196025,0.140642,0.274177,-0.465177,0.68055,0.379295,-0.472214,0.109867,-0.386452,0.270515,0.336483,0.23969,0.074551,-0.089343,-0.927992,0.582558,-0.15018,-0.44791,0.199767,0.274406
8,-1.068882,-0.39213,0.402611,0.110106,0.709868,-0.324047,0.05182,-0.938669,0.003038,0.963585,0.157977,0.586027,-0.183205,-0.401349,-0.272872,-0.322607,1.065231,-0.533263,0.079029,-0.465547,0.100594,-1.265747,-0.588806,-0.018197,0.367692,-0.289887,0.052971,0.370099,0.468267,0.487076,0.365177,-0.231511,-0.694176,-0.398238,-0.276656,0.351713,0.498629,-0.107067,0.369198,-0.318536,0.456294,0.400836,-0.359066,-0.471361,-0.643592,-0.737367,-0.474682,-0.760046,0.179942,-0.347912,0.223506,-0.318016,0.376415,-0.306166,-0.455648,-0.003142,0.253117,0.564911,-0.142079,-0.420627,0.456425,-0.225114,0.040607,-0.168045,0.370467,0.640503,0.357471,0.031732,0.267451,-0.280504,0.278315,0.521188,0.027608,0.120754,0.052219,-0.521134,0.038333,-0.732572,-0.458125,0.250125,0.65338,0.723159,0.138372,-0.658248,0.151009,0.224986,0.136636,-0.317677,-0.272875,0.277191,-0.231423,0.523017,0.108863,0.679077,-0.070621,0.158334,-0.200809,-0.120182,-0.030328,-0.109054
9,-0.288053,-0.142772,0.287097,-0.646776,0.488537,-0.340639,-0.372821,-0.179591,-0.154284,0.070664,0.334169,0.514621,0.421431,0.122682,0.056946,0.162739,0.384993,0.057054,0.209606,0.001198,0.294181,-0.840742,1.030888,0.146665,0.199132,-0.724839,0.291381,0.497078,0.899028,-0.516672,-0.076372,-0.398785,-0.207395,-0.472027,0.596284,0.110775,-0.382259,0.228337,0.129978,-0.076179,-0.015932,0.058795,0.087167,-0.685362,-0.438861,0.255322,-0.415061,-0.326477,0.021756,-0.093367,0.046954,-0.888348,-0.364828,-0.651496,-0.475435,-0.10368,0.096662,-0.066056,-0.476297,-0.427737,1.060382,-0.512793,0.388247,0.350285,-0.376415,0.21748,-0.341664,0.243834,0.227204,0.633233,0.495143,0.673611,0.082077,-0.062191,-0.220138,-0.429116,0.08162,0.510039,-0.65907,0.783877,0.614725,0.339058,0.405273,-0.094701,0.142403,0.805701,-1.132493,-0.794301,-0.080784,-0.260785,-0.050597,0.529058,0.041933,0.032031,0.238186,-0.319467,-0.233782,0.364099,-0.126275,0.488962
10,-0.225642,-0.256769,0.349405,0.267954,-0.218823,0.065414,0.314728,-0.153725,-0.259656,0.4388,0.617306,1.089691,0.824112,-0.292613,-0.127557,0.350602,0.266335,-0.385801,0.247365,-0.389981,0.42132,-0.970285,1.016783,-0.273874,-0.043454,-0.102428,0.418891,0.513239,0.363845,0.48585,-0.449378,-0.529815,-0.811226,-0.210551,-0.198926,0.490698,-0.49977,0.180265,0.019264,-0.296373,-0.03933,-0.444888,-0.38863,0.102973,-0.280311,0.785309,-0.018856,-0.262,-0.050494,-0.772271,-0.357333,-0.662373,0.108824,0.242119,0.158074,0.443582,0.214526,0.696538,0.219471,-0.215357,-0.051947,-0.189942,0.253457,-0.290821,0.129674,0.919995,0.42601,-0.01379,0.419107,0.139886,0.353916,0.126336,-0.249578,-0.813949,0.060087,0.063376,-0.072924,0.031051,-0.678833,-0.334759,0.70743,0.326878,0.381451,-0.306907,0.330894,0.201432,-1.28855,0.174234,0.393868,0.495528,0.30164,0.078726,0.025727,-0.219893,-0.323365,-0.165367,-0.071597,0.572972,-0.015709,-0.234984
11,0.109989,-0.623332,0.315397,-0.165341,0.050118,-0.694509,0.138192,0.037644,-0.279,0.380673,-0.267677,0.694682,-0.194298,-0.008124,0.166271,-0.129381,0.367655,0.001494,0.339015,0.358107,0.22463,-0.363112,0.819298,-0.239781,-0.290714,-0.396211,-0.119835,0.49094,0.249087,0.40719,-0.106814,-0.160952,-0.671069,-0.718298,0.084841,-0.081181,-0.363682,0.412853,0.024557,0.093405,0.10162,0.037537,-0.074582,-0.501331,0.15852,0.551992,0.12135,-0.41704,-0.012421,0.090278,0.124962,-0.443957,0.37552,-0.470559,-0.289033,-0.270954,0.187728,-0.024733,0.174673,-0.295107,0.178487,-0.272138,-0.43992,0.081776,-0.304576,0.018915,-0.519864,0.041764,-0.344946,0.121191,0.368404,0.187541,0.201473,-0.471475,0.031676,-0.115778,-0.437935,0.294641,-1.020532,-0.016446,-0.512971,0.528141,0.513296,-0.397905,0.073219,0.363519,0.073951,-0.023896,0.61521,-0.041525,-0.329131,0.024016,0.536259,0.585329,-0.556247,-0.076369,-0.968489,0.253687,-0.021194,-0.039797
