,country,label_name,new_name,tfidf,country_label_count,label_count,num_country_labels,num_countries,num_articles,min,max,normalized_tfidf,sum,tf,idf,new_tfidf
0,0,district,country subdivisions,0.06021385771914382,1,14,323,9,560,0.005270720101869578,0.06021385771914382,1.0,0.06021385771914382,0.0030959752321981426,1.8971199848858813,0.00035366226887325924
1,0,town,town,0.05044892222354068,2,2,323,9,560,0.005270720101869578,0.06021385771914382,0.8222719720955102,0.10089784444708136,0.006191950464396285,3.8430301339411947,0.0024009501960361914
2,0,town,town,0.05044892222354068,2,2,323,9,560,0.005270720101869578,0.06021385771914382,0.8222719720955102,0.10089784444708136,0.006191950464396285,3.8430301339411947,0.0024009501960361914
3,0,town,populated places,0.05044892222354068,2,7,323,9,560,0.005270720101869578,0.06021385771914382,0.8222719720955102,0.05889049080275667,0.006191950464396285,2.5902671654458267,0.0009445331559341799
4,0,suburb,populated places,0.008441568579215995,2,7,323,9,560,0.005270720101869578,0.06021385771914382,0.05771145615006694,0.05889049080275667,0.006191950464396285,2.5902671654458267,0.0009445331559341799
5,0,malaysia,1963 establishments in malaysia,0.03230498201468395,1,1,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.03230498201468395,0.0030959752321981426,4.53617731450114,0.0004536876983293396
6,0,malaysia,member states of the commonwealth of nations,0.03230498201468395,3,11,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.046254538210917406,0.009287925696594427,2.1382820417027695,0.0009186245981764016
7,0,mauritius,member states of the commonwealth of nations,0.007069250263854986,3,11,323,9,560,0.005270720101869578,0.06021385771914382,0.03273439122668424,0.046254538210917406,0.009287925696594427,2.1382820417027695,0.0009186245981764016
8,0,brunei,member states of the commonwealth of nations,0.0068803059323784685,3,11,323,9,560,0.005270720101869578,0.06021385771914382,0.02929548439190034,0.046254538210917406,0.009287925696594427,2.1382820417027695,0.0009186245981764016
9,0,malaysia,commonwealth monarchies,0.03230498201468395,2,2,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.03918528794706242,0.006191950464396285,3.8430301339411947,0.0009324473212862142
10,0,brunei,commonwealth monarchies,0.0068803059323784685,2,2,323,9,560,0.005270720101869578,0.06021385771914382,0.02929548439190034,0.03918528794706242,0.006191950464396285,3.8430301339411947,0.0009324473212862142
11,0,malaysia,countries in asia,0.03230498201468395,4,24,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.05861347590892249,0.01238390092879257,1.3581234841531944,0.0009858122367771534
12,0,thailand,countries in asia,0.011341060716096007,4,24,323,9,560,0.005270720101869578,0.06021385771914382,0.11048405456039882,0.05861347590892249,0.01238390092879257,1.3581234841531944,0.0009858122367771534
13,0,indonesia,countries in asia,0.008087127245764065,4,24,323,9,560,0.005270720101869578,0.06021385771914382,0.05126039876923595,0.05861347590892249,0.01238390092879257,1.3581234841531944,0.0009858122367771534
14,0,brunei,countries in asia,0.0068803059323784685,4,24,323,9,560,0.005270720101869578,0.06021385771914382,0.02929548439190034,0.05861347590892249,0.01238390092879257,1.3581234841531944,0.0009858122367771534
15,0,malaysia,g15 nations,0.03230498201468395,2,10,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.04039210926044802,0.006191950464396285,2.2335922215070942,0.0005586346814514017
16,0,indonesia,g15 nations,0.008087127245764065,2,10,323,9,560,0.005270720101869578,0.06021385771914382,0.05126039876923595,0.04039210926044802,0.006191950464396285,2.2335922215070942,0.0005586346814514017
17,0,malaysia,malaysia,0.03230498201468395,1,1,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.03230498201468395,0.0030959752321981426,4.53617731450114,0.0004536876983293396
18,0,malaysia,southeast asian countries,0.03230498201468395,4,5,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.05861347590892249,0.01238390092879257,2.9267394020670396,0.002124413243774002
19,0,thailand,southeast asian countries,0.011341060716096007,4,5,323,9,560,0.005270720101869578,0.06021385771914382,0.11048405456039882,0.05861347590892249,0.01238390092879257,2.9267394020670396,0.002124413243774002
20,0,indonesia,southeast asian countries,0.008087127245764065,4,5,323,9,560,0.005270720101869578,0.06021385771914382,0.05126039876923595,0.05861347590892249,0.01238390092879257,2.9267394020670396,0.002124413243774002
21,0,brunei,southeast asian countries,0.0068803059323784685,4,5,323,9,560,0.005270720101869578,0.06021385771914382,0.02929548439190034,0.05861347590892249,0.01238390092879257,2.9267394020670396,0.002124413243774002
22,0,malaysia,developing 8 countries member states,0.03230498201468395,2,7,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.04039210926044802,0.006191950464396285,2.5902671654458267,0.0006478412034702095
23,0,indonesia,developing 8 countries member states,0.008087127245764065,2,7,323,9,560,0.005270720101869578,0.06021385771914382,0.05126039876923595,0.04039210926044802,0.006191950464396285,2.5902671654458267,0.0006478412034702095
24,0,malaysia,states and territories established in 1963,0.03230498201468395,1,1,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.03230498201468395,0.0030959752321981426,4.53617731450114,0.0004536876983293396
25,0,malaysia,member states of the association of southeast asian nations,0.03230498201468395,4,5,323,9,560,0.005270720101869578,0.06021385771914382,0.492040736754625,0.05861347590892249,0.01238390092879257,2.9267394020670396,0.002124413243774002
26,0,thailand,member states of the association of southeast asian nations,0.011341060716096007,4,5,323,9,560,0.005270720101869578,0.06021385771914382,0.11048405456039882,0.05861347590892249,0.01238390092879257,2.9267394020670396,0.002124413243774002
