,country,label_name,tfidf,country_label_count,num_country_labels,num_articles,label_count,label_count_project,idf,tf,key_phrases
0,0,district,0.06021385771914382,181,6396,4408,4,515,2.1277780882411266,0.0282989368355222,1
1,0,town,0.05044892222354068,136,6396,4408,4,401,2.372583136336516,0.021263289555972485,1
2,0,malaysia,0.03230498201468395,49,6396,4408,4,55,4.216789080937113,0.007661038148843027,1
3,0,capital,0.026373794792181316,60,6396,4408,4,255,2.811446524846528,0.009380863039399626,1
4,0,kuala,0.02568030931150275,36,6396,4408,1,36,4.562534954343655,0.005628517823639775,1
5,0,population,0.021162277221533753,66,6396,4408,4,557,2.0508170471049985,0.010318949343339587,1
6,0,state,0.02040796560067479,66,6396,4408,4,600,1.9777173936653936,0.010318949343339587,1
7,0,perak,0.020179327365711416,27,6396,4408,1,27,4.780258438188526,0.004221388367729831,1
8,0,johor,0.01890176786016001,25,6396,4408,2,25,4.835828289343337,0.003908692933083177,1
9,0,located,0.01822362671854625,68,6396,4408,3,784,1.7140928895856147,0.010631644777986242,1
10,0,main,0.01799794898750674,41,6396,4408,3,256,2.8076800420510515,0.00641025641025641,1
11,0,bandar,0.01663355571694081,22,6396,4408,1,25,4.835828289343337,0.0034396497811131957,1
12,0,largest,0.01641343806102144,42,6396,4408,3,352,2.499532139006979,0.006566604127579738,1
13,0,pahang,0.016275949354799826,21,6396,4408,1,21,4.957189146347604,0.003283302063789869,1
14,0,situated,0.01558252425985406,31,6396,4408,3,167,3.2150266182589213,0.00484677923702314,1
15,0,kuala_lumpur,0.014923972779249416,19,6396,4408,3,19,5.0238805208462765,0.0029706066291432147,1
16,0,malay,0.014823264605103395,19,6396,4408,3,20,4.989978969170595,0.0029706066291432147,1
17,0,east,0.013997568354596802,53,6396,4408,3,804,1.6892159848302102,0.008286429018136336,1
18,0,border,0.013675049115335998,39,6396,4408,4,458,2.2427080549151035,0.006097560975609756,1
19,0,hulu,0.013542959856485797,17,6396,4408,3,17,5.095339484828421,0.0026579111944965606,1
20,0,centre,0.013491128725088215,24,6396,4408,4,111,3.5953858052360093,0.00375234521575985,1
21,0,north,0.012885363626022883,50,6396,4408,4,838,1.6482957150408473,0.007817385866166354,1
22,0,port,0.012854714198695277,22,6396,4408,4,95,3.737216000675227,0.0034396497811131957,1
23,0,kedah,0.012840724985143886,16,6396,4408,1,16,5.1330798128112685,0.0025015634771732333,1
24,0,council,0.012572478436833723,19,6396,4408,4,54,4.232293267473079,0.0029706066291432147,1
25,0,south,0.01255572119447458,49,6396,4408,3,846,1.6389059746910084,0.007661038148843027,1
26,0,penang,0.012130160708172022,15,6396,4408,3,15,5.17230052596455,0.0023452157598499064,1
27,0,selangor,0.012130160708172022,15,6396,4408,1,15,5.17230052596455,0.0023452157598499064,1
28,0,major,0.01144419966057277,27,6396,4408,3,283,2.711003741815683,0.004221388367729831,1
29,0,thailand,0.011341060716096007,15,6396,4408,4,25,4.835828289343337,0.0023452157598499064,1
30,0,sabah,0.01132148332762722,14,6396,4408,2,15,5.17230052596455,0.002188868042526579,1
31,0,sultan,0.011235634362000901,14,6396,4408,2,16,5.1330798128112685,0.002188868042526579,1
32,0,estimated,0.011014557794618792,18,6396,4408,3,78,3.913839536354544,0.0028142589118198874,1
33,0,malaysian,0.010682280761999188,13,6396,4408,3,13,5.2556821349036005,0.0020325203252032522,1
34,0,km,0.010482530598953318,21,6396,4408,3,171,3.1926793195669245,0.003283302063789869,1
35,0,kelantan,0.009943966036537402,12,6396,4408,1,12,5.300133897474435,0.001876172607879925,1
36,0,terengganu,0.009943966036537402,12,6396,4408,1,12,5.300133897474435,0.001876172607879925,1
37,0,royal,0.00922973322992417,13,6396,4408,3,37,4.541028749122692,0.0020325203252032522,1
38,0,famous,0.009100180216500706,15,6396,4408,3,81,3.8803168443159004,0.0023452157598499064,1
39,0,strait,0.00905688987208777,16,6396,4408,3,108,3.620491726367086,0.0025015634771732333,1
40,0,british,0.008926381032275279,15,6396,4408,3,88,3.8062088721621783,0.0023452157598499064,1
41,0,consists,0.008611423290693138,16,6396,4408,3,131,3.442416460454582,0.0025015634771732333,1
42,0,suburb,0.008441568579215993,12,6396,4408,4,39,4.499356052722124,0.001876172607879925,1
43,0,seri,0.008359371346324777,10,6396,4408,2,11,5.346653913109328,0.0015634771732332708,1
44,0,highway,0.008331288963456926,14,6396,4408,4,88,3.8062088721621783,0.002188868042526579,1
45,0,malacca,0.008286638363781167,10,6396,4408,2,12,5.300133897474435,0.0015634771732332708,1
46,0,indonesia,0.008087127245764065,11,6396,4408,4,30,4.702296896718814,0.0017198248905565979,1
47,0,hub,0.007962748371877904,11,6396,4408,4,33,4.629976235139188,0.0017198248905565979,1
48,0,bordered,0.007924778638076798,14,6396,4408,3,108,3.620491726367086,0.002188868042526579,1
49,0,house,0.00774577199585635,12,6396,4408,4,61,4.128496473791435,0.001876172607879925,1
50,0,ipoh,0.007664264594277171,9,6396,4408,1,9,5.44673737166631,0.0014071294559099437,1
51,0,part,0.007603047448046739,16,6396,4408,2,201,3.039318217356684,0.0025015634771732333,1
52,0,jaya,0.007592088288853789,9,6396,4408,2,10,5.39544407727876,0.0014071294559099437,1
53,0,total,0.007557616903192774,13,6396,4408,4,97,3.7183475163708444,0.0020325203252032522,1
54,0,seat,0.007478013744993777,11,6396,4408,3,47,4.3481250829982,0.0017198248905565979,1
55,0,mauritius,0.007069250263854986,9,6396,4408,4,19,5.0238805208462765,0.0014071294559099437,1
56,0,estimate,0.007066878267549812,10,6396,4408,4,38,4.5199753399248594,0.0015634771732332708,1
