,country,label_name,tfidf,country_label_count,num_country_labels,num_articles,label_count,label_count_project,idf,tf,lda
0,0,united_state,7.168313363719897,389,36639,4051,6,2436,675.1666666666666,0.010617101995141789,1
1,0,store,4.300988018231939,389,36639,4051,10,2901,405.1,0.010617101995141789,1
2,0,cook,4.300988018231939,389,36639,4051,10,2984,405.1,0.010617101995141789,1
3,0,recipe,4.256761920358089,385,36639,4051,10,1513,405.1,0.010507928709844702,1
4,0,ingredient,4.245705395889626,384,36639,4051,10,1508,405.1,0.01048063538852043,1
5,0,popular,4.245705395889626,384,36639,4051,10,1502,405.1,0.01048063538852043,1
6,0,eat,4.179366249078851,378,36639,4051,10,1345,405.1,0.010316875460574797,1
7,0,bread,4.179366249078851,378,36639,4051,10,1348,405.1,0.010316875460574797,1
8,0,location,4.157253200141926,376,36639,4051,10,1334,405.1,0.010262288817926254,1
9,0,chain,3.920040493364001,390,36639,4051,11,3742,368.27272727272725,0.010644395316466061,1
10,0,bottle,3.749166933396852,373,36639,4051,11,1269,368.27272727272725,0.010180408853953438,1
11,0,beer,3.5933704522503342,390,36639,4051,12,3975,337.5833333333333,0.010644395316466061,1
12,0,sale,3.5933704522503342,390,36639,4051,12,3723,337.5833333333333,0.010644395316466061,1
13,0,serve,3.5841566818599486,389,36639,4051,12,2818,337.5833333333333,0.010617101995141789,1
14,0,purchase,3.556515370688792,386,36639,4051,12,1568,337.5833333333333,0.010535222031168972,1
15,0,american,3.547301600298407,385,36639,4051,12,3251,337.5833333333333,0.010507928709844702,1
16,0,meat,3.547301600298407,385,36639,4051,12,1519,337.5833333333333,0.010507928709844702,1
17,0,coffee,3.547301600298407,385,36639,4051,12,1538,337.5833333333333,0.010507928709844702,1
18,0,operation,3.4920189779560937,379,36639,4051,12,2698,337.5833333333333,0.010344168781899069,1
19,0,large,3.080031816214572,390,36639,4051,14,3529,289.35714285714283,0.010644395316466061,1
20,1,de,4.749575287727609,294,41793,4051,6,686,675.1666666666666,0.007034670877898212,1
21,1,similar,4.061371521546671,419,41793,4051,10,2014,405.1,0.010025602373603235,1
22,1,vitamin,3.7695041966092138,350,41793,4051,9,867,450.1111111111111,0.008374608187974062,1
23,1,season,3.528255928026225,364,41793,4051,10,1079,405.1,0.008709592515493025,1
24,1,wine,3.045220890260729,377,41793,4051,12,1253,337.5833333333333,0.009020649391046347,1
