,Unnamed: 0,country,country_label_count,h_cat,h_cat_tfidf,idf,key_phrases,key_phrases_tfidf,label_count,label_count_project,label_name,lda,lda_tfidf,links,links_tfidf,num_articles,num_country_labels,predicted_avg_borda,tf,tfidf
28,11,0,9,0.0,0.0,4051.0,1.0,1.080811075208253,1,13,european food safety,0.0,0.0,0.0,0.0,4051,33733,-0.13168244344779612,0.0002668010553463967,1.080811075208253
29,3,0,47,1.0,17.747453032993732,4040.0,0.0,0.0,1,50,european union consumer protection law,0.0,0.0,0.0,0.0,4040,10699,105.36236321987677,0.004392933919057857,17.747453032993732
30,14,0,23,1.0,8.68492382465651,4040.0,0.0,0.0,1,27,excipients,0.0,0.0,0.0,0.0,4040,10699,51.98320815160945,0.0021497336199644826,8.68492382465651
31,5,0,10,0.0,0.0,1957.0,0.0,0.0,2,33,fermentation ,0.0,0.0,1.0,4.730481024897268,3914,4137,-4.744910558580578,0.00241721053903795,4.730481024897268
32,13,0,70,1.0,8.810792285883416,1346.6666666666667,0.0,0.0,3,98,flavors,0.0,0.0,0.0,0.0,4040,10699,52.72458530533539,0.006542667539022338,8.810792285883416
33,6,0,29,0.0,0.0,6008.0,1.0,2.28171226988409,3,37,food additive,0.0,0.0,1.0,4.730481024897268,7965,37870,-6.771296422067971,0.002980457211435899,7.012193294781358
34,0,0,135,1.0,25.488363398448453,2020.0,0.0,0.0,2,174,food additives,0.0,0.0,0.0,0.0,4040,10699,150.95705817402182,0.012618001682400223,25.488363398448453
35,11,0,134,1.0,10.119824282643238,808.0,0.0,0.0,5,844,food industry,0.0,0.0,0.0,0.0,4040,10699,60.43490770408512,0.012524535003271334,10.119824282643238
36,2,0,156,1.0,19.63547995139733,1346.6666666666667,0.0,0.0,3,523,food ingredients,0.0,0.0,0.0,0.0,4040,10699,116.48302052576584,0.014580801944106925,19.63547995139733
37,8,0,111,1.0,13.971399196186562,1346.6666666666667,0.0,0.0,3,236,food politics,0.0,0.0,0.0,0.0,4040,10699,83.12104860809875,0.010374801383306851,13.971399196186562
38,15,0,45,1.0,8.49612113281615,2020.0,0.0,0.0,2,45,functional groups,0.0,0.0,0.0,0.0,4040,10699,50.871142421020544,0.0042060005608000745,8.49612113281615
39,18,0,8,0.0,0.0,4051.0,1.0,0.9607209557406694,1,12,generally recognized safe,0.0,0.0,0.0,0.0,4051,33733,-0.025030555895828255,0.0002371564936412415,0.9607209557406694
40,14,0,4,0.0,0.0,3914.0,0.0,0.0,1,4,genetic code,0.0,0.0,1.0,3.7843848199178147,3914,4137,-3.630291537960479,0.0009668842156151801,3.7843848199178147
41,11,0,4,0.0,0.0,3914.0,0.0,0.0,1,4,glycosidic bond,0.0,0.0,1.0,3.7843848199178147,3914,4137,-3.630291537960479,0.0009668842156151801,3.7843848199178147
42,9,0,67,1.0,12.649780353304047,2020.0,0.0,0.0,2,100,gustation,0.0,0.0,0.0,0.0,4040,10699,75.33658849397642,0.006262267501635667,12.649780353304047
43,9,0,10,0.0,0.0,4051.0,1.0,1.2009011946758368,1,18,health claims,0.0,0.0,0.0,0.0,4051,33733,-0.2383343309997643,0.00029644561705155183,1.2009011946758368
44,6,0,10,0.0,0.0,4051.0,1.0,1.2009011946758368,1,11,hydroxyl group,0.0,0.0,0.0,0.0,4051,33733,-0.2383343309997643,0.00029644561705155183,1.2009011946758368
45,16,0,8,0.0,0.0,4051.0,1.0,0.9607209557406694,1,14,infant formula,0.0,0.0,0.0,0.0,4051,33733,-0.025030555895828255,0.0002371564936412415,0.9607209557406694
46,4,0,384,0.0,0.0,405.1,0.0,0.0,10,1508,ingredient,1.0,4.245705395889627,0.0,0.0,4051,36639,-17.355259091721535,0.01048063538852043,4.245705395889627
47,16,0,22,1.0,8.307318440975791,4040.0,0.0,0.0,1,22,ketones,0.0,0.0,0.0,0.0,4040,10699,49.75907669043164,0.0020562669408355923,8.307318440975791
48,19,0,390,0.0,0.0,289.35714285714283,0.0,0.0,14,3529,large,1.0,3.0800318162145714,0.0,0.0,4051,36639,-12.362929700521311,0.01064439531646606,3.0800318162145714
49,10,0,9,0.0,0.0,4051.0,1.0,1.080811075208253,1,11,ld50,0.0,0.0,0.0,0.0,4051,33733,-0.13168244344779612,0.0002668010553463967,1.080811075208253
50,8,0,376,0.0,0.0,405.1,0.0,0.0,10,1334,location,1.0,4.157253200141926,0.0,0.0,4051,36639,-16.97643734929984,0.010262288817926254,4.157253200141926
51,16,0,385,0.0,0.0,337.5833333333333,0.0,0.0,12,1519,meat,1.0,3.5473016002984066,0.0,0.0,4051,36639,-14.364145750516885,0.010507928709844702,3.5473016002984066
52,8,0,10,0.0,0.0,4051.0,1.0,1.2009011946758368,1,13,mg day,0.0,0.0,0.0,0.0,4051,33733,-0.2383343309997643,0.00029644561705155183,1.2009011946758368
53,4,0,11,0.0,0.0,4051.0,1.0,1.3209913141434204,1,21,mg kg,0.0,0.0,0.0,0.0,4051,33733,-0.3449862185517323,0.00032609017875670715,1.3209913141434204
54,16,0,4,0.0,0.0,3914.0,0.0,0.0,1,4,molecular formula,0.0,0.0,1.0,3.7843848199178147,3914,4137,-3.630291537960479,0.0009668842156151801,3.7843848199178147
55,18,0,379,0.0,0.0,337.5833333333333,0.0,0.0,12,2698,operation,1.0,3.4920189779560937,0.0,0.0,4051,36639,-14.127382161503323,0.010344168781899069,3.4920189779560937
56,4,0,42,0.0,0.0,5355.666666666667,1.0,1.5611715530785877,4,43,organic compound,0.0,0.0,1.0,9.14559664813472,7965,37870,-11.332940526316625,0.007395289865377072,10.706768201213308
57,5,0,93,1.0,17.558650341153378,2020.0,0.0,0.0,2,104,organic compounds,0.0,0.0,0.0,0.0,4040,10699,104.25029748928789,0.008692401158986821,17.558650341153378
58,10,0,55,1.0,10.38414805121974,2020.0,0.0,0.0,2,56,oxygen compounds,0.0,0.0,0.0,0.0,4040,10699,61.991799726909576,0.005140667352088979,10.38414805121974
59,5,0,384,0.0,0.0,405.1,0.0,0.0,10,1502,popular,1.0,4.245705395889627,0.0,0.0,4051,36639,-17.355259091721535,0.01048063538852043,4.245705395889627
60,19,0,21,1.0,7.929713057295076,4040.0,0.0,0.0,1,27,preservatives,0.0,0.0,0.0,0.0,4040,10699,47.53494522925385,0.0019628002617067017,7.929713057295076
61,14,0,386,0.0,0.0,337.5833333333333,0.0,0.0,12,1568,purchase,1.0,3.5565153706887918,0.0,0.0,4051,36639,-14.403606348685809,0.010535222031168972,3.5565153706887918
62,3,0,385,0.0,0.0,405.1,0.0,0.0,10,1513,recipe,1.0,4.256761920358088,0.0,0.0,4051,36639,-17.402611809524245,0.010507928709844702,4.256761920358088
63,12,0,4,0.0,0.0,3914.0,0.0,0.0,1,12,rowntree's,0.0,0.0,1.0,3.7843848199178147,3914,4137,-3.630291537960479,0.0009668842156151801,3.7843848199178147
64,12,0,390,0.0,0.0,337.5833333333333,0.0,0.0,12,3723,sale,1.0,3.5933704522503342,0.0,0.0,4051,36639,-14.561448741361518,0.01064439531646606,3.5933704522503342
65,1,0,12,0.0,0.0,3914.0,0.0,0.0,1,12,salt ,0.0,0.0,1.0,11.353154459753444,3914,4137,-12.54724370292127,0.0029006526468455408,11.353154459753444
66,13,0,389,0.0,0.0,337.5833333333333,0.0,0.0,12,2818,serve,1.0,3.5841566818599486,0.0,0.0,4051,36639,-14.521988143192592,0.010617101995141787,3.5841566818599486
67,17,0,8,0.0,0.0,4051.0,1.0,0.9607209557406694,1,12,small intestine,0.0,0.0,0.0,0.0,4051,33733,-0.025030555895828255,0.0002371564936412415,0.9607209557406694
