,country,label_name,tfidf,country_label_count,num_country_labels,num_articles,label_count,label_count_project,idf,tf,links
57,2,food_standards_agency,5.607449856733524,4,2792,3914,1,5,3914.0,0.0014326647564469914,1
58,2,fish_as_food,5.607449856733524,4,2792,3914,1,6,3914.0,0.0014326647564469914,1
59,2,fao,5.607449856733524,4,2792,3914,1,7,3914.0,0.0014326647564469914,1
60,3,cabernet_sauvignon,25.665573770491804,16,2440,3914,1,16,3914.0,0.006557377049180328,1
61,3,jancis_robinson,20.85327868852459,13,2440,3914,1,13,3914.0,0.005327868852459016,1
62,3,body_,17.645081967213116,11,2440,3914,1,11,3914.0,0.004508196721311476,1
63,3,vitis_vinifera,17.645081967213116,11,2440,3914,1,11,3914.0,0.004508196721311476,1
64,3,merlot,17.645081967213116,11,2440,3914,1,11,3914.0,0.004508196721311476,1
65,3,chardonnay,17.645081967213116,11,2440,3914,1,11,3914.0,0.004508196721311476,1
66,3,acidity_,16.04098360655738,10,2440,3914,1,10,3914.0,0.004098360655737705,1
67,3,new_world_wine,14.43688524590164,9,2440,3914,1,9,3914.0,0.0036885245901639345,1
68,3,appellation_d'origine_contrôlée,14.43688524590164,9,2440,3914,1,9,3914.0,0.0036885245901639345,1
69,3,cabernet_franc,12.832786885245902,8,2440,3914,1,8,3914.0,0.003278688524590164,1
70,3,pinot_noir,12.832786885245902,8,2440,3914,1,8,3914.0,0.003278688524590164,1
71,3,california_,11.228688524590163,7,2440,3914,1,7,3914.0,0.0028688524590163933,1
72,3,oak_,11.228688524590163,7,2440,3914,1,7,3914.0,0.0028688524590163933,1
73,3,australia_,11.228688524590163,7,2440,3914,1,8,3914.0,0.0028688524590163933,1
74,3,riesling,11.228688524590163,7,2440,3914,1,7,3914.0,0.0028688524590163933,1
75,3,grape_variety,10.426639344262295,13,2440,3914,2,13,1957.0,0.005327868852459016,1
76,3,french_wine,10.426639344262295,13,2440,3914,2,14,1957.0,0.005327868852459016,1
77,3,france_,9.624590163934426,6,2440,3914,1,6,3914.0,0.002459016393442623,1
78,3,oxford_companion_to_wine,9.624590163934426,6,2440,3914,1,6,3914.0,0.002459016393442623,1
79,3,champagne_,9.624590163934426,6,2440,3914,1,11,3914.0,0.002459016393442623,1
