,country,label_name,tfidf,country_label_count,num_country_labels,num_articles,label_count,label_count_project,idf,tf,key_words
0,0,acids,1.8402085271150144,84,46229,4051,4,204,1012.75,0.0018170412511626902,1
1,0,products,1.5992288390404292,146,46229,4051,8,800,506.375,0.003158190746068485,1
2,0,effects,1.0077332410391746,92,46229,4051,8,267,506.375,0.00199009279889247,1
3,0,contains,0.9310578857427155,85,46229,4051,8,479,506.375,0.0018386726946289125,1
4,0,studies,0.8543825304462567,78,46229,4051,8,244,506.375,0.001687252590365355,1
5,0,forms,0.8543825304462567,78,46229,4051,8,350,506.375,0.001687252590365355,1
6,0,results,0.7557999307793809,69,46229,4051,8,255,506.375,0.0014925695991693526,1
7,0,levels,0.733892686408964,67,46229,4051,8,227,506.375,0.0014493067122369075,1
8,0,natural,0.6328759484787086,65,46229,4051,9,266,450.1111111111111,0.0014060438253044626,1
9,0,high,0.6280076719519493,86,46229,4051,12,472,337.5833333333333,0.001860304138095135,1
10,0,generally,0.6243564645568799,57,46229,4051,8,418,506.375,0.0012329922775746825,1
11,0,reduced,0.6243564645568799,57,46229,4051,8,187,506.375,0.0012329922775746825,1
12,0,addition,0.6243564645568799,57,46229,4051,8,265,506.375,0.0012329922775746825,1
13,0,compounds,0.6134028423716714,42,46229,4051,6,101,675.1666666666666,0.0009085206255813451,1
14,0,caused,0.5914955980012546,54,46229,4051,8,224,506.375,0.001168097947176015,1
15,0,metabolism,0.5783512513790046,33,46229,4051,5,42,810.2,0.0007138376343853426,1
16,0,sources,0.5695883536308378,52,46229,4051,8,203,506.375,0.0011248350602435701,1
17,0,industrial,0.5695883536308378,52,46229,4051,8,201,506.375,0.0011248350602435701,1
18,0,proteins,0.5549835240505598,38,46229,4051,6,118,675.1666666666666,0.000821994851716455,1
19,0,supplementation,0.5549835240505598,19,46229,4051,3,22,1350.3333333333333,0.0004109974258582275,1
20,1,alcohol_laws,1.9094679948464945,15,31823,4051,1,15,4051.0,0.0004713571944819784,1
21,1,breweries,1.7567105552587752,69,31823,4051,5,85,810.2,0.002168243094617101,1
22,1,brewed,1.6866967287810701,53,31823,4051,4,87,1012.75,0.001665462087169657,1
23,1,beers,1.6548722622002952,91,31823,4051,7,133,578.7142857142857,0.002859566979857336,1
24,1,ales,1.400276529554096,22,31823,4051,2,25,2025.5,0.000691323885240235,1
25,1,brewers,1.2729786632309965,40,31823,4051,4,52,1012.75,0.0012569525186186092,1
26,1,drinks,1.0749597600617302,76,31823,4051,9,290,450.1111111111111,0.0023882097853753573,1
27,1,abv,0.8910850642616976,35,31823,4051,5,39,810.2,0.0010998334537912831,1
28,1,malts,0.8910850642616974,21,31823,4051,3,24,1350.3333333333333,0.0006599000722747698,1
29,1,distilling,0.8274361311001477,26,31823,4051,4,37,1012.75,0.0008170191371020959,1
30,1,bottled,0.7850035089924478,37,31823,4051,6,100,675.1666666666666,0.0011626810797222135,1
31,1,alcoholic,0.7092309695144123,39,31823,4051,7,123,578.7142857142857,0.001225528705653144,1
32,1,distilleries,0.6789219537231981,16,31823,4051,3,21,1350.3333333333333,0.0005027810074474437,1
33,1,bartenders,0.6789219537231981,16,31823,4051,3,18,1350.3333333333333,0.0005027810074474437,1
34,1,company_brewery,0.6364893316154983,5,31823,4051,1,5,4051.0,0.00015711906482732615,1
35,1,spirits,0.6364893316154981,45,31823,4051,9,63,450.1111111111111,0.0014140715834459353,1
36,1,american,0.6152730205616482,58,31823,4051,12,561,337.5833333333333,0.0018225811519969833,1
37,1,barrels,0.6110297583508784,24,31823,4051,5,50,810.2,0.0007541715111711655,1
38,1,beverage,0.5855701850862585,46,31823,4051,10,177,405.1,0.0014454953964114006,1
39,1,allowed,0.5728403984539484,36,31823,4051,8,229,506.375,0.0011312572667567483,1
40,2,waters,1.4584402142117816,64,22221,4051,8,115,506.375,0.002880158408712479,1
41,2,fisheries,1.224048036927745,47,22221,4051,7,52,578.7142857142857,0.002115116331398227,1
42,2,species,1.1951107310902098,59,22221,4051,9,260,450.1111111111111,0.0026551460330318166,1
43,2,north,1.1849826740470726,52,22221,4051,8,445,506.375,0.0023401287070788893,1
44,2,fishes,1.1394064173529546,25,22221,4051,4,41,1012.75,0.0011250618784033122,1
45,2,eggs,1.048253903964718,46,22221,4051,8,210,506.375,0.0020701138562620944,1
46,2,spawning,1.0209081499482473,28,22221,4051,5,29,810.2,0.0012600693038117097,1
47,2,females,0.9798895189235408,43,22221,4051,8,49,506.375,0.001935106430853697,1
48,2,areas,0.9115251338823636,40,22221,4051,8,403,506.375,0.0018000990054452995,1
49,2,populations,0.9115251338823636,40,22221,4051,8,102,506.375,0.0018000990054452995,1
50,2,sea,0.8203726204941271,54,22221,4051,12,107,337.5833333333333,0.002430133657351154,1
51,2,gills,0.789988449364715,13,22221,4051,3,22,1350.3333333333333,0.0005850321767697223,1
52,2,commercial,0.774796363800009,34,22221,4051,8,297,506.375,0.0015300841546285046,1
53,2,prey,0.7656811124611854,21,22221,4051,5,21,810.2,0.0009450519778587823,1
54,2,feeding,0.7520082354529499,33,22221,4051,8,78,506.375,0.0014850816794923722,1
55,2,larvae,0.7292201071058909,20,22221,4051,5,29,810.2,0.0009000495027226497,1
56,2,growth_rate,0.7292201071058908,4,22221,4051,1,4,4051.0,0.00018000990054452994,1
57,2,likely,0.7064319787588318,31,22221,4051,8,297,506.375,0.0013950767292201071,1
58,2,fins,0.6927591017505963,19,22221,4051,5,19,810.2,0.0008550470275865172,1
59,2,pacific,0.6836438504117727,30,22221,4051,8,53,506.375,0.0013500742540839747,1
